"operator","route_id","route_code","route_name","route_en_name","route_color","route_type"
"JR-East","JR-East.Ome","JC","青梅線","Ōme Line","ff4500",2
"JR-East","JR-East.Sagami",,"相模線","Sagami Line","339999",2
"JR-East","JR-East.SaikyoKawagoe","JA","埼京線・川越線","Saikyō/Kawagoe Line","2e8b57",2
"JR-East","JR-East.ShonanShinjuku","JS","湘南新宿ライン","Shōnan-Shinjuku Line","e21f26",2
"JR-East","JR-East.Sobu",,"総武線","Sōbu Line","0070b9",2
"JR-East","JR-East.SobuRapid","JO","総武線快速","Sōbu Rapid Line","0070b9",2
"JR-East","JR-East.Sotobo",,"外房線","Sotobō Line","ff4500",2
"JR-East","JR-East.Takasaki","JU","高崎線","Takasaki Line","ffa500",2
"JR-East","JR-East.Togane",,"東金線","Tōgane Line","ff8c00",2
"JR-East","JR-East.Tokaido","JT","東海道線","Tōkaidō Line","ffa500",2
"JR-East","JR-East.Tsurumi","JI","鶴見線","Tsurumi Line","ffd700",2
"JR-East","JR-East.Uchibo",,"内房線","Uchibō Line","00bf00",2
"JR-East","JR-East.Utsunomiya","JU","宇都宮線","Utsunomiya Line","ffa500",2
"JR-East","JR-East.Yamanote","JY","山手線","Yamanote Line","9acd32",2
"JR-East","JR-East.Yokohama","JH","横浜線","Yokohama Line","9acd32",2
"JR-East","JR-East.Yokosuka",,"横須賀線","Yokosuka Line","0070b9",2
"Tokyu","Tokyu.Meguro","MG","東急目黒線","Tōkyū Meguro Line","009cd2",2
"Tokyu","Tokyu.DenEnToshi","DT","東急田園都市線","Tōkyū Den-En-Toshi Line","20a288",2
"Tokyu","Tokyu.Ikegami","IK","東急池上線","Tōkyū Ikegami Line","ee86a7",2
"Tokyu","Tokyu.Oimachi","OM","東急大井町線","Tōkyū Ōimachi Line","f18c43",2
"Tokyu","Tokyu.Setagaya","SG","東急世田谷","Tōkyū Setagaya Line","dcc70d",0
"Tokyu","Tokyu.TokyuTamagawa","TM","東急多摩川線","Tōkyū Tamagawa Line","ae0378",2
"Tokyu","Tokyu.Toyoko","TY","東急東横線","Tōkyū Tōyoko Line","da0442",2
